id,Company,Address,Contact ,Email,Website
,Millicent Toyota,"79 Mt Gambier Road,
MILLICENT SA, 5280",08 8733 3111,sales@millicenttoyota.com,http://www.millicenttoyota.com.au/
,Mount Barker Adelaide Hills Toyota,"57 Adelaide Road,
MOUNT BARKER SA, 5251",08 8398 2226,reception@ahtoyota.com.au,http://www.adelaidehillstoyota.com.au/
,Mount Gambier Noel Barr Toyota,"35 Bay Road,
MOUNT GAMBIER SA, 5290",08 8721 3333,noelbarr@noelbarrtoyota.com.au,http://www.noelbarrtoyota.com.au/
,Murray Bridge Toyota,"169 Adelaide Road,
MURRAY BRIDGE SA, 5253",08 8531 0044,sales@mbmotorco.com.au,http://www.murraybridgetoyota.com.au/
,Naracoorte Toyota,"Lot 85 Deviation Road,
NARACOORTE SA, 5271",08 8762 0455,mc@naracoortetoyota.com.au,http://www.naracoortetoyota.com.au/
,Para Hills West Peter Kittle Toyota,"1459 Main North Road,
PARA HILLS WEST SA, 5096",08 8256 1212,,www.parrahillswest.peterkittletoyota.com.au
,Port Augusta Northpoint Toyota,"18 Young Street,
PORT AUGUSTA SA, 5700",08 8642 3433,,www.northpointtoyota.com.au/
,Port Lincoln Peter Kittle Toyota,"62-72 Liverpool Street,
PORT LINCOLN SA, 5606",08 8621 3200,,http://portlincoln.peterkittletoyota.com.au/
,Prospect Northpoint Toyota,"170 Main North Road,
PROSPECT SA, 5082",08 8344 7771,,www.northpointtoyota.com.au/
,Stepney CMI Toyota,"24 - 28 Nelson Street,
STEPNEY SA, 5069",08 8362 2844,eastside@cmitoyota.com.au ,http://www.cmitoyota.com.au/
,Tanunda Barossa Valley Toyota,"175 Murray Street,
TANUNDA SA, 5352",08 8563 2188,admin@barossavalleytoyota.com.au,http://www.barossavalleytoyota.com.au/
,Victor Harbor Toyota,"34-38 Adelaide Road,
VICTOR HARBOR SA, 5211",08 8552 1255,sales@mcilroyautogroup.com.au,http://victorharbortoyota.com.au/
,Waikerie Errol Matschoss Motors,"10 Ian Oliver Drive,
WAIKERIE SA, 5330",08 8541 2055,errolmatchmotors@bigpond.com.au,http://www.errolmatschossmotors.com.au/
,Whyalla Toyota,"64 Essington Avenue,
WHYALLA SA, 5600",08 8647 7400,markm@whyallaautomotive.com.au,http://www.whyallatoyota.com.au/
,Burnie Gowans Toyota,"181 Bass Highway,
BURNIE TAS, 7320",03 6431 5677,info@gowansmotorgroup.com.au,http://www.gowanstoyota.com.au/
,Devonport Gowans Toyota,"41 Best Street,
DEVONPORT TAS, 7310",03 6424 5177,info@gowansmotorgroup.com.au,http://www.gowanstoyota.com.au/
,Hobart Co-op Toyota ,"267 Argyle Street,
HOBART TAS, 7000",03 6230 1901,,http://www.co-optoyota.com.au/
,Kings Meadows Launceston Toyota,"80 Hobart Road,
KINGS MEADOWS TAS, 7249",03 6344 4000,s.nixon@launcestontoyota.com.au,http://www.launcestontoyota.com.au/
,Kingston Co-op Toyota,"14 Hutchins Street,
KINGSTON TAS, 7051",03 6229 0700,,http://www.co-optoyota.com.au/
,Airport West Toyota,"355 Wirraway Road,
AIRPORT WEST VIC, 3042",03 9379 8888,,http://www.airporttoyota.com.au/
,Bairnsdale Dwyers Toyota,"449 Princes Highway,
BAIRNSDALE VIC, 3875",03 5152 9797,,http://www.dwyerstoyota.com.au/
,Ballarat Toyota,"19 Creswick Road,
BALLARAT VIC, 3350",03 5331 2666,,http://www.ballarattoyota.com.au/
,Benalla Toyota,"28 Sydney Road,
BENALLA VIC, 3672",03 5762 2022,jbrennan@benallatoyota.com.au,http://www.benallatoyota.com.au/
,Berwick Toyota,"Lot 3 Kangan Drive,
BERWICK VIC, 3806",,,
,Camberwell Toyota,"610 Camberwell Road,
CAMBERWELL VIC, 3124",03 9809 2466,enquiry@camberwelltoyota.com.au ,http://camberwelltoyota.com.au/
,Castlemaine Toyota,"371 Barker Street,
CASTLEMAINE VIC, 3450",03 5470 5255,,http://www.castlemainetoyota.com.au/
,Cobram Toyota,"79 Broadway Street,
COBRAM VIC, 3644",03 5872 1088,sales@cobramtoyota.com.au,http://www.cobramtoyota.com.au/
,Coburg Anthony Smith Toyota,"1067 Sydney Road,
COBURG VIC, 3058",03 8371 8188,jborg@anthonysmithtoyota.com.au,http://www.anthonysmithtoyota.com.au/
,Colac Toyota,"191 Murray Street,
COLAC VIC, 3250",03 5231 5222,john@colactoyota.com.au,http://www.colactoyota.com.au
,Cranbourne Toyota,"284 South Gippsland Highway,
CRANBOURNE VIC, 3977",03 5955 1111,ctsales@cranbournetoyota.com.au,http://www.cranbournetoyota.com.au/
,Croydon Toyota,"35 Hewish Road,
CROYDON VIC, 3136",03 9725 5555,salesl@yarravalleytoyota.com.au,http://www.yarravalleytoyota.com.au/
,Dandenong Patterson Cheney Toyota,"200 Cheltenham Road,
DANDENONG VIC, 3175",03 9215 2200,,http://www.pattersoncheneytoyota.com.au/
,Deer Park Le Mans Toyota,"770 Ballarat Road,
DEER PARK VIC, 3023",03 8363 3000,,http://www.lemanstoyota.com.au/
,Doncaster Nunawading Toyota,"26 Firth Street,
DONCASTER VIC, 3108",03 9848 8322,enquiry@nunawadingtoyota.com.au,www.nunawadingtoyota.com.au
,Echuca Toyota,"101 Northern Highway,
ECHUCA VIC, 3564",03 5482 3377,,http://www.echucatoyota.com.au/
,Elsternwick Brighton Toyota,"77 Nepean Highway,
ELSTERNWICK VIC, 3185",03 9524 2000,,http://www.brightontoyota.com.au/
,Epsom Bendigo Toyota,"51-59 Midland Highway,
EPSOM VIC, 3551",03 5448 4844,,http://www.bendigotoyota.com.au/
,Ferntree Gully Toyota,"1101 Burwood Highway,
FERNTREE GULLY VIC, 3156",03 9758 8222,,http://www.ferntreegullytoyota.com.au/
,Geelong Blood Toyota,"68-72 Fyans Street,
GEELONG VIC, 3220",03 5222 3000,new@bloodtoyota.com.au,http://www.bloodtoyota.com.au/
,Glen Waverley Toyota,"375-377 Springvale Road, (383 Springvale Road),
GLEN WAVERLEY VIC, 3150",03 8544 2288,sales@waverleytoyota.com.au,http://www.waverleytoyota.com.au/
,Hamilton Taylor Toyota,"46-50 Lonsdale Street,
HAMILTON VIC, 3300",03 5572 4244,,http://www.taylortoyota.com.au/
,Healesville Toyota,"112 Maroondah Highway,
HEALESVILLE VIC, 3777",03 5962 4333,,http://www.healesvilletoyota.com.au/
,Heidelberg Cannon Toyota,"480 Lower Heidelberg Road,
HEIDELBERG VIC, 3084",03 9459 3277,,
,Heidelberg Cannon Toyota,"473 Lower Heidelberg Road,
HEIDELBERG VIC, 3084",03 9459 3277,,http://www.cannontoyota.com.au/
,Hoppers Crossing Werribee Toyota,"212-216 Old Geelong Road,
HOPPERS CROSSING VIC, 3029",03 9974 0200,newcars@werribeetoyota.com.au,http://www.werribeetoyota.com.au/
,Horsham Toyota,"81 Stawell Road,
HORSHAM VIC, 3400",03 5381 6111,sales@horshammotorco.com.au,http://www.horshamtoyota.com.au/
,Kaniva Robot Motors,"71 Commercial Street,
KANIVA VIC, 3419",03 5392 2335,robots@bigpond.net.au,http://robotmotors.com.au/
,Kerang Toyota,"1 Victoria Street,
KERANG VIC, 3579",03 5450 4233,info@swanhilltoyota.com.au,http://www.swanhilltoyota.com.au/
,Kilmore Toyota,"140 Powlett Street,
KILMORE VIC, 3764", 03 5734 3900,,http://www.kilmoretoyota.com.au/
,"Kyabram Albion (Kyabram) Motors Pty Ltd
","33-39 Albion Street,
KYABRAM VIC, 3620",03 5852 1977,sales@albionmotors.com.au,http://www.albionmotors.com.au/
,Kyneton Toyota,"24 Bourke Street,
KYNETON VIC, 3444",03 5421 0210,,http://www.kynetontoyota.com.au/
,Leongatha Knights Toyota,"7-13 Hughes Street,
LEONGATHA VIC, 3953",03 5662 2302,knightssales@wide.net.au,http://www.knightstoyota.com.au/
,Lilydale Yarra Valley Toyota,"454 Maroondah Highway,
LILYDALE VIC, 3140",03 9735 5555,salesl@yarravalleytoyota.com.au,http://www.yarravalleytoyota.com.au/
,Mansfield Toyota,"102 - 108 High Street,
MANSFIELD VIC, 3722",03 5775 1777,jbrennan@benallatoyota.com.au,http://www.benallatoyota.com.au/
,Maryborough Toyota,"64 High Street,
MARYBOROUGH VIC, 3465",03 5461 1666,,http://www.maryboroughtoyota.com.au/
,Melbourne City Toyota,"621 Elizabeth Street,
MELBOURNE VIC, 3000",03 9282 8888,sales@melbcitytoyota.com.au,http://www.melbournecitytoyota.com.au/
,Melton Toyota,"143-147 High Street,
MELTON VIC, 3337",03 8746 0300,,http://www.meltontoyota.com.au/
,Mentone Toyota,"25 Nepean Highway,
MENTONE VIC, 3194",03 8514 3900,,http://www.mentonetoyota.com.au/
,Mildura Toyota,"1-7 Seventh Street,
MILDURA VIC, 3502",03 5021 2999,info@markwellsautogroup.com.au,http://www.milduratoyota.com.au/
,Mill Park South Morang Toyota,"783 Plenty Road,
MILL PARK VIC, 3082",03 9407 8000,,http://www.southmorangtoyota.com.au/
,Mornington Toyota,"911-915 Nepean Highway,
MORNINGTON VIC, 3931",03 5975 4177,anthonys@morningtontoyota.com.au,http://morningtontoyota.com.au/
,Mulgrave Waverley Toyota,"9 Dunlop Road,
MULGRAVE VIC, 3170",03 8544 2288,sales@waverleytoyota.com.au,http://www.waverleytoyota.com.au/
,Narre Warren Berwick Toyota,"468-486 Princes Highway,
NARRE WARREN VIC, 3805",03 9707 4455,,http://www.berwicktoyota.com.au/
,Nunawading Toyota,"88 Station Street,
NUNAWADING VIC, 3131",03 8609 6078,enquiry@nunawadingtoyota.com.au,http://www.nunawadingtoyota.com.au/
,Nunawading Toyota,"275 Whitehorse Road,
NUNAWADING VIC, 3131",03 9877 3133,enquiry@nunawadingtoyota.com.au,http://www.nunawadingtoyota.com.au/
,Oakleigh Chadstone Toyota,"1547 Dandenong Road,
OAKLEIGH VIC, 3166",03 9568 0933,newcars@chadstonetoyota.com.au,http://www.chadstonetoyota.com.au/
,Pakenham Toyota,"33 Commercial Drive,
PAKENHAM VIC, 3810",03 5945 1777,,http://www.pakenhamtoyota.com.au/
,Preston Toyota,"687 High Street,
PRESTON VIC, 3072",03 9478 1788,,http://www.prestontoyota.com.au/
,Rosebud Toyota,"1343 - 1353 Point Nepean Road,
ROSEBUD VIC, 3939",03 5986 0300,anthonys@morningtontoyota.com.au,http://www.rosebudtoyota.com.au/
,Sale Turnbull Toyota,"303 York Street,
SALE VIC, 3850",03 5144 9898,,http://www.turnbulltoyota.com.au/
,Seaford Frankston Toyota,"1-4 Wells Road,
SEAFORD VIC, 3198",03 9783 8877,newcars@frankstontoyota.com.au,http://www.frankstontoyota.com.au/
,Seymour Toyota,"21 Emily Street,
SEYMOUR VIC, 3660",03 5735 3000,,http://www.seymourtoyota.com.au/
,Shepparton Toyota,"8000 Melbourne Road,
SHEPPARTON VIC, 3630",03 5823 1301,,http://www.sheppartontoyota.com.au/
,South Melbourne Toyota,"213-217 Normanby Road,
SOUTH MELBOURNE VIC, 3205",03 8645 6333,enquiries@southmelbtoyota.com.au,http://www.southmelbournetoyota.com.au/
,Stawell Toyota,"72-76 Longfield Street,
STAWELL VIC, 3380",03 5358 1555,sales@hmcstawell.com.au,http://www.stawelltoyota.com.au/
,Swan Hill Toyota,"5646 Murray Valley Hwy,
SWAN HILL VIC, 3585",03 5033 2800,info@swanhilltoyota.com.au,http://www.swanhilltoyota.com.au/
,Tottenham Le Mans Toyota,"510 Geelong Road,
TOTTENHAM VIC, 3012",03 9689 2944,,http://www.lemanstoyota.com.au/
,Traralgon Toyota,"Princes Highway,
TRARALGON VIC, 3844",03 5175 7777,sales@traralgontoyota.com.au,http://www.traralgontoyota.com.au/
,Wangaratta Toyota,"29-43 Tone Road,
WANGARATTA VIC, 3677",03 5722 2000,info@wangmotors.com.au,http://www.wangarattatoyota.com.au/
,Warracknabeal Schilling B. & Sons,"38 Scott Street,
WARRACKNABEAL VIC, 3393",03 5394 1237,,
,Warragul Toyota,"1 Endeavour Street,
WARRAGUL VIC, 3820",03 5623 1331,,http://www.warragultoyota.com.au/
,Warrnambool Toyota,"1075 Raglan Parade,
WARRNAMBOOL VIC, 3280",03 5559 0000,,http://www.warrnambooltoyota.com.au/
,Wodonga Jacob Toyota,"175 Melbourne Road,
WODONGA VIC, 3690",02 6055 9999,,http://www.jacobtoyota.com.au/
,Wonthaggi Toyota,"346 Bass Highway,
WONTHAGGI VIC, 3995",03 5672 1722,info@wonthaggitoyota.com.au,http://www.wonthaggitoyota.com.au/
,Yarram Turnbull Toyota,"278 Commercial Road,
YARRAM VIC, 3971",03 5182 5722,,http://www.turnbulltoyota.com.au/
,Albany Toyota,"360-368 Albany Highway,
ALBANY WA, 6330",08 9841 6355,,http://www.albanytoyota.com.au/
,Balcatta Big Rock Toyota,"445 Wanneroo Road,
BALCATTA WA, 6021",08 9344 0111,,http://www.bigrocktoyota.com.au/
,Broome Toyota,"Cnr Frederick & Coghlan Street,
BROOME WA, 6725",08 9194 5600,craig.watson@broometoyota.com.au,http://www.broometoyota.com.au/
,Bunbury Toyota,"34 Spencer Street,
BUNBURY WA, 6230",08 9722 2333,,http://www.bunburytoyota.com.au/
,Busselton Toyota,"78 West Street,
BUSSELTON WA, 6280",08 9781 0000,,http://www.busseltontoyota.com.au/
,Canning Vale Prosser Toyota,"209 Bannister Road,
CANNING VALE WA, 6155",08 9256 7000,Prossercanningvale.new@dvg.com.au,http://www.prossertoyotacanningvale.com.au/
,Carnavon Toyota,"198-199 Robinson Street,
CARNARVON WA, 6701",08 9941 1029,c.m.g@westnet.com.au,http://www.carnarvontoyota.com.au/
,Clarkson Grand Toyota,"1902 Marmion Avenue, Entry off Belleville Gdns,
CLARKSON WA, 6030",08 9407 1900,,http://www.grandtoyotaclarkson.com.au/
,Esperance Toyota,"Cnr Norseman & Sheldon Roads,
ESPERANCE WA, 6450",08 9071 0140,,http://www.esperancetoyota.com.au/
,Geraldton Toyota,"339 Marine Terrace,
GERALDTON WA, 6530",08 9964 0000,,http://www.geraldtontoyota.com.au/
,Gosnells Prosser Toyota,"2085 Albany Highway,
GOSNELLS WA, 6110",08 9492 1388,prossertoyota.new@dvg.com.au,http://www.prossertoyotagosnells.com.au/
,Halls Creek Toyota,"137 Duncan Road,
HALLS CREEK WA, 6770",08 9168 6150,,
,Kalamunda Toyota,"43 Canning Road,
KALAMUNDA WA, 6076",08 9257 9100,,http://www.kalamundatoyota.com.au/
,Kalgoorlie Goldfields Toyota,"60 Boulder Road,
KALGOORLIE WA, 6430",08 9025 1888,ainglis@goldfieldstoyota.com.au,http://www.goldfieldstoyota.com.au/
,Karratha Pilbara Toyota,"1 Crane Circle,
KARRATHA WA, 6714",08 9185 2700,jason.battle@pilbaratoyota.com.au,http://www.pilbaratoyota.com.au/
,Katanning Great Southern Toyota,"158 Clive Street,
KATANNING WA, 6317",08 9821 7100,accounts@greatsoutherntoyota.com.au,http://www.greatsoutherntoyota.com.au/
,Kununurra Toyota,"231 Bloodwood Drive,
KUNUNURRA WA, 6743",08 9168 2236,,http://www.katherinetoyota.com.au/
,Mandurah Toyota,"161 Pinjarra Road,
MANDURAH WA, 6210",08 9583 1333,,http://www.mandurahtoyota.com.au/
,Manjimup Toyota,"9 Giblett Street,
MANJIMUP WA, 6258",08 9771 1033,accounts@manjimuptoyota.com.au,http://manjimuptoyota.com.au/
,Melville Toyota,"Cnr North Lake Road & Leach Highway,
MELVILLE WA, 6156",08 9317 2333,,http://melvilletoyota.com.au/
,Merredin Toyota,"Lot 9 East Barrack Street,
MERREDIN WA, 6415",08 9041 4444,admin@avtoyota.com.au,http://www.avonvalleytoyota.com.au/
,Midland Toyota (Service & Parts),"163 Gt Eastern Hwy,
MIDLAND WA, 6056",08 9464 1000,midland.toyota@dvg.com.au,http://www.midlandtoyota.com.au/
,Moora Toyota,"92 Gardiner Street,
MOORA WA, 6510",08 9653 1923,todd@mooratoyota.com.au,http://www.mooratoyota.com.au/
,Morley Galleria Toyota,"70 Collier Road,
MORLEY WA, 6062",08 9262 8888,gallerianewcars@galleriatoyota.com.au,http://galleriatoyota.com.au/
,Myaree Melville Toyota (Service & Parts),"53 McCoy Street,
MYAREE WA, 6154",08 9317 2333,,http://www.melvilletoyota.com.au/
,Narrogin Toyota,"162 Federal Street,
NARROGIN WA, 6312",08 9881 2044,sales@narrogintoyota.com.au,http://www.narrogintoyota.com.au/
,Nedlands City Toyota,"199 Stirling Highway,
NEDLANDS WA, 6009",08 9284 8484,,www.citytoyota.net.au
,Newman Pilbara Toyota ,"29 Pardoo Street,
NEWMAN WA, 6753",08 9175 1173,jason.battle@pilbaratoyota.com.au,http://www.pilbaratoyota.com.au/
,Northam Avon Valley Toyota ,"Cnr Fitzgerald St & Peel Tce,
NORTHAM WA, 6401",08 9622 5622,lknipe@avtoyota.com.au,http://www.avonvalleytoyota.com.au/
,Northbridge City Toyota (Service & Parts),"165 Aberdeen Street,
NORTHBRIDGE WA, 6003",08 9228 0888,,http://www.citytoyota.net.au/
,Northbridge City Toyota,"216 Newcastle Street,
NORTHBRIDGE WA, 6003",08 9221 0888,,http://www.citytoyota.net.au
,Osborne Park Scarboro Toyota,"297 Scarborough Beach Road,
OSBORNE PARK WA, 6017",08 9273 1000,sales@scarborotoyota.com.au,http://scarborotoyota.com.au/
,Port Hedland Pilbara Toyota (Service & Parts),"26 Anderson Street,
PORT HEDLAND WA, 6721",08 9174 2600,jason.battle@pilbaratoyota.com.au,http://www.pilbaratoyota.com.au/
,Port Hedland Pilbara Toyota,"38 Anderson Street,
PORT HEDLAND WA, 6721",08 9173 1622,jason.battle@pilbaratoyota.com.au,http://www.pilbaratoyota.com.au/
,Rockingham Toyotaways,"75 Dixon Road,
ROCKINGHAM WA, 6168",08 9527 5755,,http://www.toyotaways.com.au/
,Wangara Grand Toyota,"Corner Wanneroo & Lancaster Roads,
WANGARA WA, 6065",08 9403 9000,,http://www.grandtoyotawangara.com.au/
,Welshpool New Town Toyota ,"10 Forward Street,
WELSHPOOL WA, 6106",08 9472 2600,,http://www.newtowntoyota.com.au/
,Wongan Hills Boekaman Toyota,"Manmanning Road,
WONGAN HILLS WA, 6603",08 9671 1211,,http://www.boekemantoyota.com.au/
